STATE,ST_CASE,DAY,MONTH,HOUR,MINUTE,AGE,SEX,PER_TYP,INJ_SEV
1,10289,17,5,2,55,22,2,1,4
1,10290,19,5,15,49,83,1,1,4
1,10291,20,5,14,24,77,2,1,4
1,10291,20,5,14,24,16,1,1,2
1,10291,20,5,14,24,14,1,2,2
1,10291,20,5,14,24,15,1,2,2
1,10291,20,5,14,24,998,1,2,0
1,10292,21,5,13,17,47,1,1,4
1,10292,21,5,13,17,25,1,1,2
1,10293,22,5,8,0,33,2,1,4
1,10293,22,5,8,0,66,1,1,0
1,10293,22,5,8,0,51,1,1,0
1,10293,22,5,8,0,998,1,2,0
1,10294,22,5,11,40,43,2,1,4
1,10295,24,5,17,25,69,1,1,0
1,10295,24,5,17,25,37,1,1,4
1,10296,25,5,10,45,34,1,1,4
1,10296,25,5,10,45,34,1,1,3
1,10296,25,5,10,45,40,2,2,3
