STATE,ST_CASE,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LAT,LON
1,10325,30,5,2018,4,13,13,33.43003056,-86.919
1,10326,30,5,2018,4,16,33,32.65553333,-86.2484
1,10327,30,5,2018,4,9,30,34.65751667,-86.5094
1,10328,31,5,2018,5,21,45,32.32753333,-85.0972
1,10329,31,5,2018,5,17,37,32.45959444,-85.1773
1,10330,31,5,2018,5,13,0,33.77259167,-85.9854
1,10331,2,6,2018,7,6,30,34.41498889,-88.1357
1,10332,3,6,2018,1,5,30,34.41565833,-87.1593
1,10333,4,6,2018,2,8,0,33.863925,-86.7932
1,10334,5,6,2018,3,8,30,32.61161389,-86.957
1,10335,5,6,2018,3,15,0,34.64922222,-87.2029
1,10336,6,6,2018,4,16,35,33.15453056,-86.6469
1,10337,6,6,2018,4,18,25,34.43932778,-85.5058
1,10338,7,6,2018,5,14,13,33.52374722,-86.6634
1,10339,7,6,2018,5,7,40,33.41356944,-86.9285
1,10340,7,6,2018,5,13,30,31.27318333,-86.1043
1,10341,7,6,2018,5,6,39,32.55889722,-86.2217
1,10342,9,6,2018,7,12,17,31.75016944,-85.2272
1,10343,9,6,2018,7,20,30,33.78269167,-85.7616
1,10344,9,6,2018,7,20,50,34.73750278,-86.1209
1,10345,9,6,2018,7,22,40,32.28054167,-87.8272
1,10346,10,6,2018,1,1,50,34.86355278,-87.0157
1,10347,11,6,2018,2,5,0,34.79067778,-87.0887
1,10348,11,6,2018,2,11,54,30.797325,-88.1514
1,10349,11,6,2018,2,18,20,32.61245833,-86.478
1,10350,11,6,2018,2,23,17,32.64020833,-85.315
1,10351,11,6,2018,2,22,45,33.75588056,-87.8318
1,10352,12,6,2018,3,15,15,33.47830556,-86.122
1,10353,12,6,2018,3,14,45,33.28603611,-87.9778
1,10354,13,6,2018,4,19,50,33.10883889,-87.0771
1,10355,14,6,2018,5,2,0,34.44695278,-86.8054
1,10356,15,6,2018,6,7,0,33.219025,-85.8546
1,10357,11,6,2018,2,16,58,33.668825,-86.4839
1,10358,15,6,2018,6,21,0,32.49473889,-85.0504
1,10359,16,6,2018,7,19,45,34.50151389,-86.2688
1,10360,17,6,2018,1,1,0,32.29793889,-86.7121
1,10361,17,6,2018,1,1,35,30.67958889,-88.2077
1,10362,21,6,2018,5,5,0,33.37980278,-86.6271
1,10363,21,6,2018,5,7,20,32.26225833,-86.1602
1,10364,13,3,2018,3,5,25,30.60361389,-87.5581
1,10365,23,4,2018,2,20,20,32.74523611,-88.0895
1,10366,6,4,2018,6,17,0,34.67891667,-86.9222
1,10367,30,4,2018,2,18,30,34.27428611,-86.4957
1,10368,20,4,2018,6,16,3,34.61681389,-86.9865
1,10369,7,4,2018,7,2,54,33.1912,-85.4078
1,10370,4,3,2018,1,4,0,30.59119722,-88.2077
1,10371,4,3,2018,1,2,20,30.52058333,-88.2129
1,10372,13,3,2018,3,10,40,33.33411111,-86.6771
1,10373,14,3,2018,4,4,45,32.94583333,-86.6351
1,10374,6,3,2018,3,7,46,32.31847222,-86.0946
1,10375,20,3,2018,3,8,20,32.46076667,-86.8783
1,10376,20,4,2018,6,23,19,34.60440833,-87.0165
1,10377,19,4,2018,5,16,53,33.66238056,-85.8269
1,10378,18,4,2018,4,8,50,30.83323056,-88.2678
1,10379,3,4,2018,3,21,9,30.48714722,-88.2339
1,10380,21,4,2018,7,16,1,34.58225278,-86.9729
1,10381,31,3,2018,7,14,55,30.48738611,-88.3412
1,10382,9,3,2018,6,21,22,30.56513056,-87.601
1,10383,20,6,2018,4,4,30,34.10606111,-88.0227
1,10384,26,6,2018,3,10,22,30.62308889,-88.129
1,10385,2,7,2018,2,19,9,33.55152778,-86.8301
1,10386,5,7,2018,5,18,44,33.28980556,-87.0804
1,10387,9,7,2018,2,5,50,32.55179722,-85.522
1,10388,14,7,2018,7,1,5,33.58536667,-85.8998
1,10389,14,7,2018,7,5,20,30.51924444,-88.2732
1,10390,20,7,2018,6,16,50,33.00738056,-87.7625
1,10391,11,6,2018,2,99,99,33.37461389,-86.9612
1,10392,13,6,2018,4,15,57,30.81231389,-88.3162
1,10393,23,6,2018,7,21,5,34.90215833,-86.664
1,10394,24,6,2018,1,18,30,33.54027778,-86.7753
1,10395,26,6,2018,3,20,50,34.94921667,-86.7482
1,10396,28,6,2018,5,15,1,33.31183611,-85.7452
1,10397,29,6,2018,6,12,30,33.19335556,-86.3078
